pages,document,field,kind,expected,actual,match,note
1-2,Baltic Office Solutions UAB,doc_type,hard,invoice,invoice,True,
1-2,Baltic Office Solutions UAB,vendor_name,hard,Baltic Office Solutions UAB,Baltic Office Solutions UAB,True,
1-2,Baltic Office Solutions UAB,invoice_number,hard,BOS-2026-0788,BOS-2026-0788,True,
1-2,Baltic Office Solutions UAB,invoice_date,hard,2026-07-14,2026-07-14,True,
1-2,Baltic Office Solutions UAB,due_date,hard,2026-08-13,2026-08-13,True,
1-2,Baltic Office Solutions UAB,currency,hard,EUR,EUR,True,
1-2,Baltic Office Solutions UAB,net_total,hard,914.0,914,True,
1-2,Baltic Office Solutions UAB,vat_rate_percent,hard,21.0,21,True,
1-2,Baltic Office Solutions UAB,vat_amount,hard,191.94,191.94,True,
1-2,Baltic Office Solutions UAB,gross_total,hard,1105.94,1105.94,True,
1-2,Baltic Office Solutions UAB,suggested_expense_category,soft,Office supplies,Office supplies,True,
3,Nordika Cloud OÜ,doc_type,hard,invoice,invoice,True,
3,Nordika Cloud OÜ,vendor_name,hard,Nordika Cloud OÜ,Nordika Cloud OÜ,True,
3,Nordika Cloud OÜ,invoice_number,hard,NC-2026-1442,NC-2026-1442,True,
3,Nordika Cloud OÜ,invoice_date,hard,2026-07-19,2026-07-19,True,
3,Nordika Cloud OÜ,due_date,hard,2026-08-02,2026-08-02,True,
3,Nordika Cloud OÜ,currency,hard,EUR,EUR,True,
3,Nordika Cloud OÜ,net_total,hard,132.0,132,True,
3,Nordika Cloud OÜ,vat_rate_percent,hard,21.0,21,True,
3,Nordika Cloud OÜ,vat_amount,hard,24.72,24.72,True,
3,Nordika Cloud OÜ,gross_total,hard,159.72,159.72,True,
3,Nordika Cloud OÜ,suggested_expense_category,soft,Software & IT,Software & IT,True,
4,Bürotech Demo GmbH,doc_type,hard,invoice,invoice,True,
4,Bürotech Demo GmbH,vendor_name,hard,Bürotech Demo GmbH,Bürotech Demo GmbH,True,
4,Bürotech Demo GmbH,invoice_number,hard,BT-2026-3321,BT-2026-3321,True,
4,Bürotech Demo GmbH,invoice_date,hard,2026-07-18,2026-07-18,True,
4,Bürotech Demo GmbH,due_date,hard,2026-08-17,2026-08-17,True,
4,Bürotech Demo GmbH,currency,hard,EUR,EUR,True,
4,Bürotech Demo GmbH,net_total,hard,640.0,640,True,
4,Bürotech Demo GmbH,vat_rate_percent,hard,19.0,19,True,
4,Bürotech Demo GmbH,vat_amount,hard,121.6,121.6,True,
4,Bürotech Demo GmbH,gross_total,hard,761.6,761.6,True,
4,Bürotech Demo GmbH,suggested_expense_category,soft,Office supplies,Office supplies,True,
5,Nordisk Kontor Demo AB,doc_type,hard,invoice,invoice,True,
5,Nordisk Kontor Demo AB,vendor_name,hard,Nordisk Kontor Demo AB,Nordisk Kontor Demo AB,True,
5,Nordisk Kontor Demo AB,invoice_number,hard,2026-5588,2026-5588,True,
5,Nordisk Kontor Demo AB,invoice_date,hard,2026-07-21,2026-07-21,True,
5,Nordisk Kontor Demo AB,due_date,hard,2026-08-20,2026-08-20,True,
5,Nordisk Kontor Demo AB,currency,hard,SEK,SEK,True,
5,Nordisk Kontor Demo AB,net_total,hard,12400.0,12400,True,
5,Nordisk Kontor Demo AB,vat_rate_percent,hard,25.0,25,True,
5,Nordisk Kontor Demo AB,vat_amount,hard,3100.0,3100,True,
5,Nordisk Kontor Demo AB,gross_total,hard,15500.0,15500,True,
5,Nordisk Kontor Demo AB,suggested_expense_category,soft,Office supplies,Office supplies,True,
6,Emerald Docs Demo Ltd,doc_type,hard,invoice,invoice,True,
6,Emerald Docs Demo Ltd,vendor_name,hard,Emerald Docs Demo Ltd,Emerald Docs Demo Ltd,True,
6,Emerald Docs Demo Ltd,invoice_number,hard,ED-2026-0912,ED-2026-0912,True,
